date,sep,sep_err,pa,pa_err
1909.5,1.0,0.1,190.0,2.0
1910.3,0.8,0.1,180.00099999999998,2.0
1912.66,0.65,0.1,187.0,2.0
1926.25,0.41,0.1,192.5,2.0
1930.39,0.37,0.1,194.0,2.0
1936.32,0.23,0.1,204.7,2.0
1937.83,0.24,0.1,204.1,2.0
1937.98,0.18,0.1,206.8,2.0
1959.25,0.18,0.1,348.7,1.0
1960.27,0.2,0.1,0.0,1.0
1963.85,0.26,0.1,358.7,1.0
1964.35,0.3,0.1,1.1,1.0
1967.28,0.32,0.1,1.9,1.0
1976.13,0.52,0.1,2.2,1.0
1979.21,0.59,0.1,1.1,1.0
1991.25,0.775,0.01,2.9,1.0
1991.3882,0.777,0.01,3.2,1.0
1996.1826,0.807,0.02,3.1,1.0
2004.086,0.78,0.01,3.0,1.0
2006.1913,0.745,0.01,3.7,1.0
2009.2638,0.7139,0.002,4.22,0.71
2009.2638,0.7144,0.002,4.22,0.9
2009.2638,0.714,0.002,4.26,0.31
2011.0355,0.6853,0.002,5.04,0.61
2011.0355,0.6877,0.002,4.95,0.98
2013.1272,0.63,0.002,5.33,0.34
2013.1272,0.6291,0.002,5.34,0.56
2014.0581,0.6021,0.002,4.98,0.43
2015.1696,0.5711,0.002,5.56,0.26
2015.1696,0.5716,0.002,5.46,0.71
2016.0485,0.5455,0.002,5.74,0.33
2016.9603,0.5132,0.002,5.46,0.33
2018.0856,0.471,0.002,6.68,0.33
2019.1399,0.4293,0.002,6.46,0.2
2019.9503,0.3952,0.002,6.92,0.22
2020.9961,0.3574,0.002,7.75,0.22
2021.3159,0.3436,0.002,7.08,0.24
